TimeWindow  TotalIterations  Iterations  Convergence  
     1     100     100       0  
     2     200     100       0  
     3     300     100       0  
     4     400     100       0  
     5     500     100       0  
     6     600     100       0  
     7     700     100       0  
     8     800     100       0  
     9     900     100       0  
    10    1000     100       0  
    11    1100     100       0  
    12    1200     100       0  
    13    1300     100       0  
    14    1400     100       0  
    15    1500     100       0  
    16    1600     100       0  
    17    1700     100       0  
    18    1800     100       0  
    19    1900     100       0  
    20    1912      12       1  
    21    1949      37       1  
    22    2049     100       0  
    23    2149     100       0  
    24    2249     100       0  
    25    2349     100       0  
    26    2375      26       1  
    27    2475     100       0  
    28    2575     100       0  
    29    2605      30       1  
    30    2620      15       1  
    31    2660      40       1  
    32    2760     100       0  
    33    2860     100       0  
    34    2960     100       0  
    35    3060     100       0  
    36    3160     100       0  
    37    3260     100       0  
    38    3360     100       0  
    39    3460     100       0  
    40    3560     100       0  
    41    3609      49       1  
    42    3709     100       0  
    43    3809     100       0  
    44    3909     100       0  
    45    4009     100       0  
    46    4109     100       0  
    47    4209     100       0  
    48    4309     100       0  
    49    4409     100       0  
    50    4509     100       0  
    51    4609     100       0  
    52    4709     100       0  
    53    4809     100       0  
    54    4909     100       0  
    55    4934      25       1  
    56    5034     100       0  
    57    5053      19       1  
    58    5153     100       0  
    59    5253     100       0  
    60    5353     100       0  
    61    5453     100       0  
    62    5553     100       0  
    63    5653     100       0  
    64    5753     100       0  
    65    5853     100       0  
    66    5953     100       0  
    67    6053     100       0  
    68    6153     100       0  
    69    6253     100       0  
    70    6353     100       0  
    71    6453     100       0  
    72    6500      47       1  
    73    6600     100       0  
    74    6700     100       0  
    75    6800     100       0  
    76    6852      52       1  
    77    6952     100       0  
    78    7052     100       0  
    79    7081      29       1  
    80    7158      77       1  
    81    7258     100       0  
    82    7344      86       1  
    83    7444     100       0  
    84    7515      71       1  
    85    7615     100       0  
    86    7715     100       0  
    87    7815     100       0  
    88    7915     100       0  
    89    8015     100       0  
    90    8048      33       1  
    91    8111      63       1  
    92    8211     100       0  
    93    8307      96       1  
    94    8407     100       0  
    95    8507     100       0  
    96    8607     100       0  
    97    8707     100       0  
    98    8807     100       0  
    99    8907     100       0  
   100    9007     100       0  
