TimeWindow  Iteration  ResRel(Pressure)  
     1       1   1.00000000e+00  
     1       2   9.95024162e-01  
     1       3   1.00332285e+00  
     1       4   9.87784940e-01  
     1       5   1.03916899e+00  
     1       6   8.61244611e-01  
     1       7   3.69201460e+01  
     1       8   2.48700736e-01  
     1       9   1.12237805e-01  
     1      10   3.33425590e-03  
     1      11   9.37946326e-02  
     1      12   1.63937281e-01  
     1      13   2.38348549e-01  
     1      14   2.66500976e-01  
     1      15   4.58918697e-01  
     1      16   1.98139485e-01  
     1      17   8.51301336e-03  
     1      18   5.25324314e-02  
     1      19   1.13966086e-01  
     1      20   1.37714858e-01  
     1      21   2.68473001e-01  
     1      22   1.33129978e-01  
     1      23   3.49357385e-03  
     1      24   4.22878614e-02  
     1      25   7.61681033e-02  
     1      26   1.19401216e-01  
     1      27   1.31204508e-01  
     1      28   3.21235220e-01  
     1      29   9.00677223e-02  
     1      30   1.93701140e-02  
     1      31   2.26391986e-02  
     1      32   2.09952250e-01  
     1      33   6.30411672e-02  
     1      34   1.59106935e-02  
     1      35   1.81679600e-02  
     1      36   2.10424304e-01  
     1      37   5.54087025e-02  
     1      38   1.61908977e-02  
     1      39   1.43186537e-02  
     1      40   2.14460406e-01  
     1      41   4.62162248e-02  
     1      42   2.74459297e-02  
     1      43   1.25394081e-02  
     1      44   2.92210831e-02  
     1      45   3.69136095e-02  
     1      46   1.15103426e-01  
     1      47   5.08983047e-02  
     1      48   3.56005065e-03  
     1      49   1.83022617e-02  
     1      50   4.34415026e-02  
     1      51   5.14838640e-02  
     1      52   1.27036652e-01  
     1      53   4.86754223e-02  
     1      54   6.43879901e-03  
     1      55   1.48533409e-02  
     1      56   4.73846347e-02  
     1      57   4.14880282e-02  
     1      58   1.19177730e-01  
     1      59   2.85622210e-02  
     1      60   1.92284306e-02  
     1      61   1.84785371e-02  
     1      62   2.32206844e-02  
     1      63   2.38600150e-02  
     1      64   3.76276759e-01  
     1      65   3.05891995e-02  
     1      66   1.32472837e-02  
     1      67   3.08051307e-03  
     1      68   9.74965884e-03  
     1      69   3.41088740e-02  
     1      70   3.27737946e-02  
     1      71   4.96216851e-01  
     1      72   2.57851629e-02  
     1      73   1.37557341e-02  
     1      74   2.29896908e-03  
     1      75   1.45833005e-02  
     1      76   2.34412811e-02  
     1      77   4.45454661e-02  
     1      78   3.77020409e-02  
     1      79   6.02096654e-02  
     1      80   1.92630593e-02  
     1      81   1.46230466e-02  
     1      82   2.68696260e-02  
     1      83   1.88997935e-02  
     1      84   1.60100860e-02  
     1      85   5.57161752e-02  
     1      86   1.96246041e-02  
     1      87   1.37591084e-02  
     1      88   1.54763200e-02  
     1      89   1.63001616e-02  
     1      90   1.59374945e-02  
     1      91   8.56096732e-01  
     1      92   2.03619449e-02  
     1      93   1.03886194e-02  
     1      94   6.50100574e-04  
     1      95   1.05166483e-02  
     1      96   1.90776422e-02  
     1      97   3.11125342e-02  
     1      98   3.40839851e-02  
     1      99   1.08643267e-01  
     1     100   2.30489179e-02  
     2       1   9.28338291e+00  
     2       2   1.02883653e+00  
     2       3   2.41988129e-02  
     2       4   7.66136811e-02  
     2       5   1.53528740e-01  
     2       6   1.86015487e-01  
     2       7   3.13082744e-01  
     2       8   1.86968713e-01  
     2       9   4.03845246e-02  
     2      10   6.08339042e-02  
     2      11   7.86850170e-02  
     2      12   2.21898041e-01  
     2      13   1.11352250e-01  
     2      14   4.56094116e-03  
     2      15   4.20943473e-02  
     2      16   7.43312993e-02  
     2      17   1.19619737e-01  
     2      18   1.25884969e-01  
     2      19   3.76350344e-01  
     2      20   8.29901299e-02  
     2      21   2.26696333e-02  
     2      22   1.86683124e-02  
     2      23   2.09550105e-02  
     2      24   2.41332951e-01  
     2      25   5.99130163e-02  
     2      26   1.85093578e-02  
     2      27   1.51841474e-02  
     2      28   8.90512742e-03  
     2      29   3.52265264e-02  
     2      30   4.48390550e-02  
