Run finished at Tue Jan 11 20:11:02 2022
Global runtime       = 722540ms / 722.54s
Number of processors = 1
# Rank: 0

                                                                              Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                            _GLOBAL |          1 |     722540 |     722540 |     722540 |     722540 |          1 |
                                                                            advance |       8193 |     133074 |        204 |          0 |         16 |      0.184 |
                                                                advance/ApplyFilter |       8092 |        114 |          0 |          0 |          0 |   0.000158 |
                                               advance/cpl.computeQuasiNewtonUpdate |       8093 |        661 |          2 |          0 |          0 |   0.000915 |
                                                            advance/m2n.receiveData |       8192 |     129179 |        204 |          2 |         15 |      0.179 |
                                                               advance/m2n.sendData |       8193 |        566 |          9 |          0 |          0 |   0.000783 |
                              advance/map.nn.mapData.FromFluid1D-MeshToFluid3D-Mesh |       8192 |         22 |          0 |          0 |          0 |   3.04e-05 |
                                                                          configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                           finalize |          1 |          3 |          3 |          3 |          3 |   4.15e-06 |
                                                                         initialize |          1 |         36 |         36 |         36 |         36 |   4.98e-05 |
                                              initialize/m2n.acceptMasterConnection |          1 |          3 |          3 |          3 |          3 |   4.15e-06 |
                                              initialize/m2n.acceptSlavesConnection |          1 |         20 |         20 |         20 |         20 |   2.77e-05 |
                                        initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                               initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                initialize/m2n.createCommunications |          2 |          5 |          2 |          2 |          2 |   6.92e-06 |
                                          initialize/m2n.exchangeVertexDistribution |          2 |         15 |          9 |          5 |          7 |   2.08e-05 |
                                                         initialize/m2n.receiveData |          1 |          9 |          9 |          9 |          9 |   1.25e-05 |
                    initialize/map.nn.computeMapping.FromFluid1D-MeshToFluid3D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/map.nn.computeMapping.FromFluid1D-MeshToFluid3D-Mesh.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initialize/map.nn.mapData.FromFluid1D-MeshToFluid3D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.gatherMesh.Fluid3D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                      initialize/partition.prepareMesh.Fluid3D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                initialize/partition.receiveGlobalMesh.Fluid1D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.sendGlobalMesh.Fluid3D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                             initialize/query.index.getVertexIndexTree.Fluid1D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                     initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                       initializeData/map.nn.mapData.FromFluid1D-MeshToFluid3D-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                     solver.advance |       8193 |     589210 |        229 |         36 |         71 |      0.815 |
                                                                  solver.initialize |          1 |        150 |        150 |        150 |        150 |   0.000208 |


                                                                               Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                            _GLOBAL |     722540 |          0 |     722540 |          0 |          1 |
                                                                            advance |        204 |          0 |          0 |          0 |          0 |
                                                                advance/ApplyFilter |          0 |          0 |          0 |          0 |          0 |
                                               advance/cpl.computeQuasiNewtonUpdate |          2 |          0 |          0 |          0 |          0 |
                                                            advance/m2n.receiveData |        204 |          0 |          2 |          0 | 0.00980392 |
                                                               advance/m2n.sendData |          9 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromFluid1D-MeshToFluid3D-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                          configure |          0 |          0 |          0 |          0 |          0 |
                                                                           finalize |          3 |          0 |          3 |          0 |          1 |
                                                                         initialize |         36 |          0 |         36 |          0 |          1 |
                                              initialize/m2n.acceptMasterConnection |          3 |          0 |          3 |          0 |          1 |
                                              initialize/m2n.acceptSlavesConnection |         20 |          0 |         20 |          0 |          1 |
                                        initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                               initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                          initialize/m2n.exchangeVertexDistribution |          9 |          0 |          5 |          0 |   0.555556 |
                                                         initialize/m2n.receiveData |          9 |          0 |          9 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromFluid1D-MeshToFluid3D-Mesh |          0 |          0 |          0 |          0 |          0 |
 initialize/map.nn.computeMapping.FromFluid1D-MeshToFluid3D-Mesh.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initialize/map.nn.mapData.FromFluid1D-MeshToFluid3D-Mesh |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.gatherMesh.Fluid3D-Mesh |          0 |          0 |          0 |          0 |          0 |
                                      initialize/partition.prepareMesh.Fluid3D-Mesh |          0 |          0 |          0 |          0 |          0 |
                                initialize/partition.receiveGlobalMesh.Fluid1D-Mesh |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.sendGlobalMesh.Fluid3D-Mesh |          0 |          0 |          0 |          0 |          0 |
                             initialize/query.index.getVertexIndexTree.Fluid1D-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     initializeData |          0 |          0 |          0 |          0 |          0 |
                       initializeData/map.nn.mapData.FromFluid1D-MeshToFluid3D-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                     solver.advance |        229 |          0 |         36 |          0 |   0.157205 |
                                                                  solver.initialize |        150 |          0 |        150 |          0 |          1 |
