TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
     1     100     100       0       2      97       0  
     2     200     100       0       5      96       0  
     3     300     100       0       5      99       0  
     4     400     100       0       7      97       0  
     5     500     100       0       9      97       0  
     6     600     100       0       9      99       0  
     7     700     100       0      10      98       0  
     8     800     100       0       9     100       0  
     9     900     100       0       9      99       0  
    10    1000     100       0       9      99       0  
    11    1100     100       0       9      99       0  
    12    1200     100       0       9      99       0  
    13    1300     100       0       9      99       0  
    14    1400     100       0       9      99       0  
    15    1500     100       0       9      99       0  
    16    1600     100       0       9      99       0  
    17    1700     100       0       9      99       0  
    18    1800     100       0       9      99       0  
    19    1900     100       0       9      99       0  
    20    2000     100       0       9      99       0  
    21    2100     100       0       9      99       0  
    22    2200     100       0       9      99       0  
    23    2300     100       0       9      99       0  
    24    2400     100       0       9      99       0  
    25    2500     100       0       9      99       0  
    26    2600     100       0       9      99       0  
    27    2700     100       0       9      99       0  
    28    2800     100       0       9      99       0  
    29    2900     100       0       9      99       0  
    30    3000     100       0       9      99       0  
    31    3100     100       0       9      99       0  
    32    3200     100       0       9      99       0  
    33    3300     100       0       9      99       0  
    34    3400     100       0       9      99       0  
    35    3500     100       0       9      99       0  
    36    3511      11       1       9      10       0  
    37    3611     100       0       9      99       0  
    38    3711     100       0       9      99       0  
    39    3811     100       0       8     100       0  
    40    3911     100       0       8      99       0  
    41    4011     100       0       8      99       0  
    42    4111     100       0       8      99       0  
    43    4173      62       1       8      61       0  
    44    4273     100       0       8      99       0  
    45    4373     100       0       7     100       0  
    46    4473     100       0       6     100       0  
    47    4573     100       0       7      98       0  
    48    4673     100       0       7      99       0  
    49    4773     100       0       7      99       0  
    50    4873     100       0       7      99       0  
    51    4973     100       0       7      99       0  
    52    5073     100       0       7      99       0  
    53    5173     100       0       7      99       0  
    54    5273     100       0       7      99       0  
    55    5355      82       1       7      81       0  
    56    5455     100       0       7      99       0  
    57    5555     100       0       7      99       0  
    58    5655     100       0       7      99       0  
    59    5755     100       0       7      99       0  
    60    5825      70       1       7      69       0  
    61    5925     100       0       7      99       0  
    62    6025     100       0       7      99       0  
    63    6125     100       0       7      99       0  
    64    6225     100       0       7      99       0  
    65    6325     100       0       7      99       0  
    66    6327       2       1       7       1       0  
    67    6343      16       1       7      15       0  
    68    6443     100       0       6     100       0  
    69    6543     100       0       7      98       0  
    70    6643     100       0       7      99       0  
    71    6670      27       1       6      27       0  
    72    6770     100       0       6      99       0  
    73    6870     100       0       6      99       0  
    74    6970     100       0       6      99       0  
    75    7070     100       0       6      99       0  
    76    7170     100       0       6      99       0  
    77    7270     100       0       6      99       0  
    78    7370     100       0       6      99       0  
    79    7470     100       0       6      99       0  
    80    7537      67       1       6      66       0  
    81    7637     100       0       6      99       0  
    82    7737     100       0       6      99       0  
    83    7837     100       0       6      99       0  
    84    7937     100       0       6      99       0  
    85    8037     100       0       6      99       0  
    86    8137     100       0       6      99       0  
    87    8141       4       1       6       3       0  
    88    8145       4       1       6       3       0  
    89    8151       6       1       6       5       0  
    90    8154       3       1       6       2       0  
    91    8157       3       1       6       2       0  
    92    8175      18       1       6      17       0  
    93    8177       2       1       6       1       0  
    94    8179       2       1       6       1       0  
    95    8182       3       1       6       2       0  
    96    8184       2       1       6       1       0  
    97    8186       2       1       6       1       0  
    98    8188       2       1       6       1       0  
    99    8191       3       1       6       2       0  
   100    8193       2       1       6       1       0  
